world_rank,university_name,country,teaching,international,research,citations,income,total_score
201-225,Technion Israel Institute of Technology,Israel,36.9,60.6,37.5,52,36.5,-
201-225,Ulm University,Germany,35,54.1,22,73,56.7,-
201-225,University of Barcelona,Spain,28.4,47.8,28.8,79.7,31,-
201-225,University of Bergen,Norway,29.5,65.3,27.9,68.5,34.2,-
201-225,University of Dundee,United Kingdom,24.4,64.5,22.5,84.4,47.7,-
201-225,University of Illinois at Chicago,United States of America,43,53.4,34.1,55.1,40.7,-
201-225,University of Innsbruck,Austria,23.9,93.4,17.1,77,42,-
201-225,University of Reading,United Kingdom,32.8,75,34,58.1,34.9,-
201-225,University of Science and Technology of China,China,36.9,26.3,27.3,73.6,71.6,-
201-225,University of Strasbourg,France,28.6,69.5,23.4,74,32,-
201-225,University of SÌÄå£o Paulo,Brazil,51.6,25.3,51.6,32.3,40.1,-
201-225,University of Texas at Dallas,United States of America,26,55.4,28.2,77.8,41.6,-
201-225,University of Trieste,Italy,28.7,50.7,16,88.1,33.3,-
201-225,University of Twente,Netherlands,32.3,67.2,45.3,49.4,89.2,-
201-225,UniversitÌÄå© Libre de Bruxelles,Belgium,26.7,79.4,36.2,64.4,50.7,-
201-225,Wake Forest University,United States of America,33.3,26,23.5,81.3,38.2,-
201-225,William & Mary,United States of America,36.8,26.5,19.9,78.7,30,-
201-225,Yonsei University,South Korea,44.5,35.7,45.8,44.3,69.7,-
226-250,Autonomous University of Barcelona,Spain,30.4,46.4,29.2,67,34.6,-
226-250,"Birkbeck, University of London",United Kingdom,28.3,84.4,29.3,60.4,28.7,-
226-250,Brunel University London,United Kingdom,22.1,88.8,21.4,75.3,31.9,-
226-250,Carleton University,Canada,24.3,61.1,24.5,76.9,30.7,-
226-250,Dalhousie University,Canada,33.6,71.6,30,54.4,68.9,-
226-250,Laval University,Canada,35.8,55.7,29.9,58.1,62.7,-
226-250,Mines ParisTech,France,39.6,58.7,23.2,55.1,99,-
226-250,Nagoya University,Japan,37.5,31.8,31.8,59.9,86.3,-
226-250,Rensselaer Polytechnic Institute,United States of America,30.9,42.8,26.2,67.8,49.9,-
226-250,Simon Fraser University,Canada,24.6,61.4,29.3,67.6,41.8,-
226-250,State University of New York Albany,United States of America,25.7,39.6,35,68.9,-,-
226-250,Technical University of Berlin,Germany,42.2,70.4,32.3,47,63.4,-
226-250,Tokyo Metropolitan University,Japan,19.6,39.5,9.8,100,31,-
226-250,University College Dublin,Republic of Ireland,31.7,79.4,28.1,61.7,33.8,-
226-250,University of Calgary,Canada,34.4,63.1,30.5,59.4,41.5,-
226-250,University of Gothenburg,Sweden,24.1,46.8,38.2,64.4,37,-
226-250,University of Kiel,Germany,31.1,44.2,24.3,70.8,42,-
226-250,University of Konstanz,Germany,30.5,57,33.4,59.4,52.5,-
226-250,University of Milan-Bicocca,Italy,27.1,40.6,23,76.6,45,-
226-250,University of Technology Sydney,Australia,27.8,86.9,32.5,58.7,40.1,-
226-250,University of Western Ontario,Canada,38.3,63.7,35.7,47,50.7,-
226-250,University of WÌÄå_rzburg,Germany,28.6,50.2,17.3,81.4,30,-
226-250,Vienna University of Technology,Austria,43.3,75.9,32.4,41.7,64.1,-
226-250,York University,Canada,27.5,59.7,35.3,62.9,34.1,-
251-275,Aalto University,Finland,31.8,59.4,31.3,50.2,64.5,-
251-275,Federico Santa MarÌÄå_a Technical University,Chile,13,48.7,10.1,99.7,28.1,-
251-275,Medical University of Vienna,Austria,28.6,73.1,17,71.1,33.7,-
251-275,Nanjing University,China,34.6,50.2,23.3,59.6,51.7,-
251-275,National Tsing Hua University,Taiwan,39.4,24.8,40.3,49.1,49.4,-
251-275,"National University of Ireland, Galway",Republic of Ireland,26.7,71.7,24.8,62.8,43.1,-
251-275,QueenÌ¢‰âÂ‰ã¢s University,Canada,37.3,55.4,33.4,48.2,59,-
251-275,QueenÌ¢‰âÂ‰ã¢s University Belfast,United Kingdom,30.1,88.6,25.1,52.2,43.7,-
251-275,Swedish University of Agricultural Sciences,Sweden,27.9,49.6,25.2,59.9,99.8,-
251-275,Technical University of Darmstadt,Germany,36.9,59.6,33.7,42,88.9,-
251-275,University of Bremen,Germany,33.9,53,27.6,55.7,46.3,-
