world_rank,university_name,country,teaching,international,research,citations,income,total_score
226-250,University of Missouri,United States of America,40.4,30.8,45.8,45.2,31.1,-
226-250,University of Otago,New Zealand,28.8,85.4,30.9,54.8,37.2,-
226-250,University of South Florida,United States of America,32.6,19.7,42,48.4,98.9,-
226-250,University of the Witwatersrand,South Africa,28.6,65.1,38.3,49.8,98.4,-
226-250,University of Waterloo,Canada,34.7,58.3,42.1,41.8,39.4,-
226-250,University of Western Ontario,Canada,39.4,51.3,37.2,44.8,44.6,-
226-250,University of WÌÄå_rzburg,Germany,33,44.8,19.4,70.9,30.4,-
226-250,UniversitÌÄå© Libre de Bruxelles,Belgium,25.6,78.2,30.6,59.3,54.9,-
251-275,Aalto University,Finland,34.4,52,26.8,50.1,73.7,-
251-275,Dalhousie University,Canada,30.2,59.1,29.8,54.3,65,-
251-275,Hong Kong Polytechnic University,Hong Kong,34.6,65.4,41.2,39.8,42.2,-
251-275,Indian Institute of Technology Bombay,India,47.3,19.9,33.1,45.6,52.7,-
251-275,Macquarie University,Australia,22,86.8,29.6,54.8,37.2,-
251-275,Nanjing University,China,41.3,48.4,25.3,52.1,47.7,-
251-275,National Chiao Tung University,Taiwan,39.6,27.2,49.6,31.5,99,-
251-275,Norwegian University of Science and Technology,Norway,34.2,57.5,27.7,50.8,45.2,-
251-275,Queensland University of Technology,Australia,27.6,69.2,37,47,58.9,-
251-275,State University of Campinas,Brazil,51.7,20.9,46.8,26.5,44.9,-
251-275,Stellenbosch University,South Africa,31.5,47.8,35,48.9,96.6,-
251-275,Tokyo Metropolitan University,Japan,19,19.6,9.8,97.1,31.1,-
251-275,UmeÌÄå´ University,Sweden,23.5,52.4,34.5,59.6,29.7,-
251-275,University of Connecticut,United States of America,42.5,40.5,29.7,50,32.6,-
251-275,University of Essex,United Kingdom,33.7,86.4,34.6,39.6,31,-
251-275,University of Iceland,Iceland,11.4,59.9,28,71,74.4,-
251-275,University of Kiel,Germany,32.1,44.6,27,62.5,35.6,-
251-275,University of Milan,Italy,36.3,35.7,24.2,61,38.2,-
251-275,University of Milan-Bicocca,Italy,26.1,36.2,21.1,76,39,-
251-275,University of MÌÄå_nster,Germany,35.9,43.2,20.4,63.6,38.2,-
251-275,University of Oregon,United States of America,31.5,30.2,21.7,70.4,-,-
251-275,University of Trieste,Italy,19.6,48.5,14.3,82.2,33.6,-
251-275,Victoria University of Wellington,New Zealand,22.3,84.8,29.1,55.6,43,-
251-275,Vienna University of Technology,Austria,44.8,71.4,32.4,34.2,65.5,-
276-300,Aberystwyth University,United Kingdom,23.8,63.1,21.7,64.3,34.9,-
276-300,Bangor University,United Kingdom,27.6,70.3,25.7,53.8,31.6,-
276-300,Bayreuth University,Germany,25.6,50.4,14.9,72.1,35.4,-
276-300,Bielefeld University,Germany,27.4,47.5,20.3,63.5,35.1,-
276-300,BoÌãüaziÌÄå¤i University,Turkey,35.4,36.7,33.9,48.1,38.4,-
276-300,Colorado State University,United States of America,30.8,29.8,32,55.8,-,-
276-300,Drexel University,United States of America,34.7,36.6,14.9,65.1,34.7,-
276-300,Istanbul Technical University,Turkey,34.9,20.8,25.5,52.9,98,-
276-300,Montpellier University,France,22.2,54.2,25.8,64.4,32.8,-
276-300,Oregon State University,United States of America,27.1,34.2,24.2,64.1,31,-
276-300,QueenÌ¢‰âÂ‰ã¢s University Belfast,United Kingdom,28,87.1,23.8,52.2,48.1,-
276-300,Ruhr University Bochum,Germany,36.7,48.3,32.9,42.4,54.3,-
276-300,Shanghai Jiao Tong University,China,43.4,20.7,37.9,31.3,76.1,-
276-300,Swedish University of Agricultural Sciences,Sweden,28.4,46.8,25.3,54.6,99.8,-
276-300,Tokyo Medical and Dental University (TMDU),Japan,47.5,21.9,21.6,47.1,45.4,-
276-300,TU Dresden,Germany,29.7,48.9,15.6,63.9,36.1,-
276-300,University of Bath,United Kingdom,28,75.9,28.8,50.2,42.8,-
276-300,University of Bologna,Italy,34.4,37.6,27.4,53.9,35.1,-
276-300,University of Kansas,United States of America,36.1,28.1,20.5,57.2,34.5,-
276-300,University of Montana,United States of America,28.9,24.9,14.9,72.1,34.1,-
276-300,University of Newcastle,Australia,21.1,70.5,29,49.8,72.9,-
276-300,University of South Carolina,United States of America,37.5,31.3,28,53.2,30.8,-
276-300,University of Southern Denmark,Denmark,18.6,67.3,19.6,67.3,75.5,-
276-300,University of Trento,Italy,28.7,51.2,21.9,62.1,45.3,-
276-300,University of Turin,Italy,22.6,36.3,23.4,66.2,40.4,-
276-300,Virginia Polytechnic Institute and State University,United States of America,38.5,27.8,44.4,37.2,27.9,-
301-350,Autonomous University of Madrid,Spain,32,45.7,24,51.9,34.7,-
301-350,Brunel University London,United Kingdom,19.3,89.4,20.1,58.2,33.4,-
301-350,Charles University in Prague,Czech Republic,34.7,50.3,26.2,42,28.1,-
301-350,Claude Bernard University Lyon 1,France,23.6,50,17.1,62.6,-,-
301-350,Creighton University,United States of America,42.4,26,9.3,61,-,-
301-350,Hokkaido University,Japan,45.1,24.9,34.2,32.3,41.3,-
301-350,Hong Kong Baptist University,Hong Kong,22.9,62,15.1,57.6,29.6,-
301-350,Johannes Kepler University of Linz,Austria,22,59,13.8,59.3,-,-
